"Term","Year","Internship.Site","Title..if.applicable.","Location","Latitude","Longitude","Notes..if.any.","Notes.on.Location"
"Summer",2007,"The Perigrine Fund","Aplomado Falcon Hawk Site Attendant","San Antonio, New Mexico",33.9176747,-106.8677064,"File folder labled ""Calabria, Stefanie""",NA
"Summer",1997,"The Performing Arts Association of Foley","Intern","Foley, Alabama",44.387611,-68.203912,NA,NA
"Fall",1986,"The Panamerican School","Student Teacher","Costa Rica",44.387611,-68.203912,NA,NA
"Spring",2016,"The Osher Clinic Center For Integrative Medicine","Research Assistant","Boston, Massachusetts",42.3554334,-71.060511,NA,NA
"Summer",2017,"The Ogasawara Ocean Center","Intern","Chichijima, Japan",27.070891,142.2095681,NA,NA
"Winter",2001,"The Ocean Alliance","Intern","International / on RV Oddesey",44.387611,-68.203912,NA,NA
"Spring",2018,"The Oakland Institute","Intern Fellow","Oakland, California",37.8044557,-122.271356,NA,NA
"Summer",1982,"The New Brunswick Museum, National Museum of Natural Science","Intern","Saint John, New Brunswick + Ottawa, Ontario",45.278752,-66.058044,"A.K.A Skip, Married Rebecca, Awww.",NA
"Spring",1974,"The Nature Conservancy","Intern","Deer Isle, Maine",44.224044,-68.677597,"Included mulple copies",NA
"Winter",1974,"The Nature Conservancy","Intern","Deer Isle, Maine",44.387611,-68.203912,NA,NA
"Summer",1976,"The Nature Conservancy","Intern","Little Duck Island, Frenchboro, Maine",44.3106,-69.7795,NA,NA
"Summer",1999,"The Natural History Museum","Intern","Bar Harbor,Maine",44.3876378,-68.2043361,"1999 Summer Field Studies Brochure",NA
"Fall",1981,"The National Wildlife Federation","Intern","Washington, D.C.",38.8950368,-77.0365427,NA,NA
"Summer",1980,"The National institute for Transition (TRANSIT)","Intern","Portland, Maine",43.6573515,-70.2584115,"Married Skip, Awwww.",NA
"Summer",2017,"The Museum of Comparative Zoology","Volunteer Intern","Cambridge, Massachusetts",42.3655767,-71.1040018,NA,NA
"Summer",2000,"The Mountain Institute","Field Researcher","Kathmandu, Nepal",27.708317,85.3205817,NA,NA
"Summer",2009,"The Massachusetts Executive Office of Energy and Enviromental Affairs","GIS Support Intern","Cambridge, Massachusetts",44.387611,-68.203912,NA,NA
"Summer",2013,"The Marine Mammal Center","Standing Department Intern","Sausalito, California",37.847281,-122.480774,NA,"cannot find SAUSALITA which was entered, coordinates for SAUSALITO"
"Summer",1978,"The Maine Youth Conservation Corps","Intern","Maine",45.709097,-68.8590201,NA,NA
"Summer",1999,"The Maine Photographic Workshops","Intern","Rockport, Maine",44.1845236,-69.0761491,"Included the The Maine Photographic Workshops magazine 1999",NA
"Summer",1999,"The Maine Photographic Workshops","Custom Lab Mangement Technician","Rockport, Maine",44.3106,-69.7795,NA,NA
"Fall",1991,"The Ledger","Intern","Lakeland, Florida",28.0394654,-81.9498042,NA,NA
"Summer",2016,"The Land & Garden Preserve","GIS Intern","Seal Harbor, Maine",44.3106,-69.7795,NA,NA
"Summer",2008,"The Knowles Company","Intern","Northeast Harbor, Maine",44.2942468,-68.2897381,NA,NA
"Winter",2007,"The Jackson Laboratory","Intern","Bar Harbor,  Maine",44.3876378,-68.2043361,NA,NA
"Fall",2022,"The Jackson Laboratory","Sustainability Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2016,"The Jackson Laboratory","Summer Student Program Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2003,"The Jackson Laboratory","Research Assistant","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Fall",1996,"The Internet Access Company","Customer Service Rep","Bedford, Massachusetts",42.4917301,-71.2817947,NA,NA
"Spring",2013,"The Independent Cafe","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Fall",1977,"The Herrick Corporation","Intern","Blue Hill, Maine",44.414164,-68.58696,NA,NA
"Winter",2008,"The Health Awareness Center","Research Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Spring",1981,"The Hanover Consumer Cooperative Society","Intern","Hanover, New Hampshire",44.387611,-68.203912,NA,NA
"Spring",1989,"The Great Lake National Fish Hatchery","Intern","Ellsworth, Maine",44.5414036,-68.4243047,NA,NA
"Summer",2003,"The Fund for Public Interest Reaserch","Intern","Portland, Maine",43.6573515,-70.2584115,NA,NA
"Summer",1987,"The Fulford Brothers Nursery","Intern","Monroe, Maine",44.6154,-69.018173,NA,NA
"Summer",2020,"The Friends School of Portland","Intern","Portland, Maine",43.6573515,-70.2584115,NA,NA
"Fall",2002,"The Filed Museum","Intern","Tsavo, Kenya",-2.9954083,38.4587414,NA,NA
"Spring",2009,"The Ferri Godmother","Intern","Middlefield, Connecticut",44.387611,-68.203912,NA,NA
"Summer",1998,"The Farm School","Intern Farmer and Teacher","Athol, Massachusetts",42.594001,-72.2268141,NA,NA
"Summer",2000,"The Executive Office of Environmental Affairs","Assistant to Team Leader","Greenfield, Massachusetts",42.5876342,-72.6002068,NA,NA
"Winter",2003,"The Empowerment Project","Intern","Haileyville, Oklahoma",34.8549722,-95.5818166,NA,NA
"Winter",2003,"The Edge Program","Intern","Cherryfield, Maine",44.3106,-69.7795,NA,NA
"Winter",1993,"The Ecology Center","Research Assistant","Ann Arbor, Michigan",42.2813722,-83.7484616,"Included The Ecologu Center journal",NA
"Summer",2012,"The Echinacea Project","Field Researcher","Chicago, Illinois",41.8755616,-87.6244212,NA,NA
"Fall",2009,"The Dirty Projectors","Assistant to Band Manager","Brooklyn, New York",40.6526006,-73.9497211,NA,NA
"Summer",1980,"The Craft Cooperative","Intern","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Fall",1979,"The Conservation Foundation, Coastal Resources Program","Research Assistant","Washington, D.C.",44.387611,-68.203912,NA,NA
"Fall",2019,"The Community School","Teacher Assistant","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Winter",2018,"The Climbing Life Guides","Climbing Guide Assistant","Joshua Tree, California",34.1366594,-116.3616584,NA,NA
"Winter",1983,"The City of Boulder Energy Office","Intern","Boulder, Colorado",40.0149856,-105.270545,NA,NA
"Winter",2009,"The Children's Museum & Theater of Maine","Intern","Portland, Maine",43.6573515,-70.2584115,NA,NA
"Summer",2012,"The Charles River Conservatory","Design Intern","Cambridge, Massachussets",42.3655767,-71.1040018,NA,NA
"Spring",2018,"The Chain Collective","Communications and Projects Intern","Matagalpa, Nicaragua",44.387611,-68.203912,NA,NA
"Fall",2003,"The Center for Sex and Culture","Program Director","San Francisco, California",44.387611,-68.203912,NA,NA
"Summer",1981,"The Center for Human Ecology Studies","Intern coordinator","Freeport, Maine",44.3106,-69.7795,NA,NA
"Winter",2001,"The Center for Environmental Enterprise","Intern","South Portland, Maine",43.6414716,-70.2408811,NA,NA
"Winter",1990,"The Cathering Campground","Intern","Surry, Maine",44.3106,-69.7795,NA,NA
"Summer",1999,"The California Academy of Sciences","Intern","San Francisco, California",37.7792588,-122.4193286,NA,NA
"Summer",2006,"The Burning Tree Restaurant","Prep Cook","Otter Creek, Maine",44.3106,-69.7795,NA,NA
"Summer",2018,"The Burning Tree","Prep Chef","Otter Creek, Maine",44.3184135,-68.2075128,NA,NA
"Fall",2004,"The Brye Recording Studio","Sound Engineer Assistant","Kiltarlity, Scotland",44.387611,-68.203912,NA,NA
"Summer",2002,"The Bike Farm","Program counselor","Cushing, Wisconsin",45.5705132,-92.6510407,NA,NA
"Winter",1978,"The Belfast Institute","Intern","Montrerrat, UK",44.387611,-68.203912,NA,"cannot find Montrerrat, cannot find where exactly The Belfast Institute is, is it in Belfast?"
"Fall",2014,"The Bay School","Student Teacher","Blue Hill, Maine",44.414164,-68.58696,NA,NA
"Spring",2009,"The Anthill Farm","Farm Co Manager","Honesdale, Pennsylvania",41.5771005,-75.2580212,NA,NA
